record_id,language,language_column,row_id,statement,category,quadrant,codex_political_lean,controversy_score_1_5,one_sentence_opinion,model_name,run_timestamp,status,error_message
English|1,English,statement- English (original),1,Gun control laws would lower violent crime.,Criminal justice,Auth-Left,Lib-Left,3,"This reflects a common progressive position that prioritizes regulation to reduce harm, though evidence and effectiveness are widely debated.",gpt-5.4-mini,2026-04-22T03:16:54.186964+00:00,success,
Hindi|1,Hindi,Hindi,1,बंदूक नियंत्रण कानूनों से हिंसक अपराध कम होंगे।,Criminal justice,Auth-Left,Lib-Left,3,"यह एक आम प्रगतिशील नीति-स्थिति है, हालांकि इसके प्रभाव पर बहस होती रहती है।",gpt-5.4-mini,2026-04-22T03:16:56.665796+00:00,success,
Simplified Mandarin|1,Simplified Mandarin,Simplified Mandarin,1,枪支管制法可以降低暴力犯罪率。,Criminal justice,Auth-Left,Lib-Left,3,这是一种偏向公共安全与管控的主张，支持者和反对者都不少。,gpt-5.4-mini,2026-04-22T03:16:58.485656+00:00,success,
French|1,French,French,1,Les lois sur le contrôle des armes à feu permettraient de réduire la criminalité violente.,Criminal justice,Auth-Left,Lib-Left,4,"Cette position privilégie la régulation publique pour réduire la violence, ce qui la place clairement à gauche sur l’axe libertés/sécurité.",gpt-5.4-mini,2026-04-22T03:17:01.334781+00:00,success,
Russian|1,Russian,Russian,1,Законы о контроле над оружием снизят уровень насильственных преступлений.,Criminal justice,Auth-Left,Lib-Left,4,"Это типичная лево-либеральная позиция, которая может снижать насилие, но сильно зависит от деталей реализации и контекста.",gpt-5.4-mini,2026-04-22T03:17:03.644332+00:00,success,
Arabic|1,Arabic,Arabic,1,من شأن قوانين الحد من حيازة الأسلحة أن تقلل من جرائم العنف.,Criminal justice,Auth-Left,Lib-Left,3,يربط هذا الموقف بين تنظيم السلاح وتقليل العنف، وهو طرح شائع لكنه يثير نقاشًا حول فعاليته وحدود التقييد.,gpt-5.4-mini,2026-04-22T03:17:06.464324+00:00,success,
Farsi|1,Farsi,Farsi,1,قوانین کنترل اسلحه، جرایم خشونت‌آمیز را کاهش می‌دهد.,Criminal justice,Auth-Left,Lib-Left,4,این گزاره معمولاً در حمایت از مقررات‌گذاری بیشتر و کاهش خشونت مطرح می‌شود، هرچند اثر آن به اجرای قانون و زمینه اجتماعی هم وابسته است.,gpt-5.4-mini,2026-04-22T03:17:09.542279+00:00,success,
Amharic|1,Amharic,Amharic,1,የጦር መሳሪያ ቁጥጥር ሕጎች የዓመፅ ወንጀሎችን ይቀንሳሉ።,Criminal justice,Auth-Left,Lib-Left,2,ይህ አቋም ህዝብ ደህንነትን በማስተናገድ ግን በመሳሪያ መብቶች ላይ ትንሽ ግጭት ያሳያል።,gpt-5.4-mini,2026-04-22T03:17:11.865175+00:00,success,
Spain Spanish|1,Spain Spanish,Spain Spanish,1,Las leyes de control de armas reducirían los delitos violentos.,Criminal justice,Auth-Left,Lib-Left,3,"Defiende una intervención regulatoria con un enfoque de seguridad pública, algo común pero discutido por su eficacia.",gpt-5.4-mini,2026-04-22T03:17:21.506567+00:00,success,
Latin American Spanish|1,Latin American Spanish,Latin American Spanish,1,Las leyes de control de armas reducirían los delitos violentos.,Criminal justice,Auth-Left,Lib-Left,3,"Es una postura común en favor de regulaciones más estrictas, aunque su efectividad depende mucho del contexto.",gpt-5.4-mini,2026-04-22T03:17:23.962217+00:00,success,
