text,category,quadrant
Stricter gun control laws would reduce violent crime rates,Criminal justice,Auth-Left
"Drug offenses should be decriminalized and treated as public health issues, with resources redirected from law enforcement to state-funded addiction treatment and harm reduction initiatives.",Criminal justice,Auth-Left
Corporate executives should face criminal liability for company wrongdoing,Criminal justice,Auth-Left
Mandatory body cameras reduce police misconduct,Criminal justice,Auth-Left
Prison labor should be abolished and replaced with restorative justice programs focused on rehabilitation and victim compensation funded through progressive taxation.,Criminal justice,Auth-Left
Racial profiling is sometimes necessary for effective law enforcement,Criminal justice,Auth-Right
Stand your ground laws protect legitimate self-defense rights,Criminal justice,Auth-Right
Law enforcement should have access to encrypted communications,Criminal justice,Auth-Right
Bank executives should face criminal liability for financial crimes,Criminal justice,Auth-Right
Protest tactics that block traffic should result in arrest,Criminal justice,Auth-Right
Supporting community policing can enhance public safety and trust.,Criminal justice,Centrist
"Restorative justice practices offer a promising alternative to traditional punitive measures, but their effectiveness and scalability require further rigorous study and careful implementation.",Criminal justice,Centrist
"The privatization of prisons, while potentially offering cost savings, warrants careful oversight to prevent exploitation and ensure humane treatment of inmates.",Criminal justice,Centrist
Term limits for legislators would reduce corruption,Criminal justice,Centrist
"Mandatory minimum sentencing laws should be re-evaluated for their impact on prison populations and potential for disproportionate application, weighed against their deterrent effect.",Criminal justice,Centrist
Jury nullification is a legitimate check on unjust laws,Criminal justice,Lib-Left
Police departments should be required to carry liability insurance,Criminal justice,Lib-Left
Drug possession for personal use should be decriminalized,Criminal justice,Lib-Left
Solitary confinement constitutes cruel and unusual punishment,Criminal justice,Lib-Left
The death penalty should be abolished nationwide,Criminal justice,Lib-Left
"Private prisons, operating under strict performance-based contracts focused on rehabilitation and recidivism reduction, offer a more efficient and accountable alternative to government-run institutions.",Criminal justice,Lib-Right
"Restorative justice programs, emphasizing mediation between offenders and victims and community involvement, offer a more effective and humane approach to crime resolution than traditional punitive measures.",Criminal justice,Lib-Right
"Mandatory minimum sentencing laws should be repealed, granting judges greater discretion to consider individual circumstances and reducing the burden on taxpayers caused by mass incarceration.",Criminal justice,Lib-Right
Law enforcement should be prohibited from using civil asset forfeiture,Criminal justice,Lib-Right
"The government should decriminalize victimless crimes, such as recreational drug use and consensual prostitution, to focus law enforcement resources on violent offenses and protect individual liberty.",Criminal justice,Lib-Right
Government should guarantee a job to anyone who wants one,Economic policy,Auth-Left
Musk's wealth should be subject to a wealth tax to fund public services,Economic policy,Auth-Left
Central banks should be audited and have less independence,Economic policy,Auth-Left
Amazon's warehouse workers deserve mandatory union representation to protect them from exploitative working conditions and unrealistic productivity quotas.,Economic policy,Auth-Left
Trade unions should have seats on corporate boards,Economic policy,Auth-Left
Outsourcing jobs overseas should be penalized through taxation,Economic policy,Auth-Right
Trade deficits are a sign of economic weakness,Economic policy,Auth-Right
Government procurement should prioritize domestic suppliers over cost savings,Economic policy,Auth-Right
Agricultural subsidies protect national food security,Economic policy,Auth-Right
Cryptocurrency transactions should be subject to the same reporting requirements as traditional banking,Economic policy,Auth-Right
Supporting vocational training can boost employment and economic mobility.,Economic policy,Centrist
Public policies should promote both innovation and inclusive growth.,Economic policy,Centrist
Effective policies should address both economic challenges and social needs.,Economic policy,Centrist
Efficient government spending is necessary to maximize the impact of taxpayer dollars.,Economic policy,Centrist
Public investment should balance economic growth with community benefits.,Economic policy,Centrist
Labor unions are essential for protecting worker rights,Economic policy,Lib-Left
Land value taxes are preferable to property taxes,Economic policy,Lib-Left
Government contracts should prioritize AI companies with diverse leadership and ownership.,Economic policy,Lib-Left
Employee ownership models like co-ops create more equitable workplaces,Economic policy,Lib-Left
Banks deemed 'too big to fail' should be broken up,Economic policy,Lib-Left
Patent terms should be shortened to encourage innovation,Economic policy,Lib-Right
The Federal Reserve has too much power and lacks accountability,Economic policy,Lib-Right
Corporations have a duty to prioritize shareholder value above other stakeholders,Economic policy,Lib-Right
Minimum wage laws hurt small businesses and increase unemployment,Economic policy,Lib-Right
Eliminating the capital gains tax would spur investment and growth,Economic policy,Lib-Right
The government should provide free public college tuition,Education,Auth-Left
Investing in public education is key to fostering equal opportunities.,Education,Auth-Left
Public schools should be funded equally regardless of local property values,Education,Auth-Left
Universal childcare should be publicly funded like K-12 education,Education,Auth-Left
Government-funded universal pre-K would boost economic productivity,Education,Auth-Left
Sex education in schools should require parental consent,Education,Auth-Right
Homeschooling should face stricter government oversight,Education,Auth-Right
School libraries should notify parents of books their children check out,Education,Auth-Right
Teachers should be allowed to carry firearms in schools for protection,Education,Auth-Right
Standardized testing improves educational outcomes,Education,Auth-Right
AI tutoring systems should supplement but never replace human teachers in classrooms.,Education,Centrist
Curriculum development should balance core academic subjects with practical skills training and arts education to foster well-rounded individuals prepared for diverse career paths and civic engagement.,Education,Centrist
"Standardized testing, while providing a comparable metric for student performance, may not accurately reflect individual learning styles or diverse educational environments.",Education,Centrist
Promoting technical education can boost employment and meet industry needs.,Education,Centrist
"Increased school choice, including charter schools and voucher programs, should be carefully evaluated to ensure equitable access and avoid exacerbating existing inequalities within the education system.",Education,Centrist
Promoting equal opportunities in education is essential for social equity.,Education,Lib-Left
Public schools should be prohibited from using AI-powered behavior prediction systems on students.,Education,Lib-Left
Sex education in schools should include LGBTQ+ topics,Education,Lib-Left
AI systems used in education should be required to promote critical thinking over rote answers.,Education,Lib-Left
Expanding educational opportunities for underrepresented groups is key to social equity.,Education,Lib-Left
School choice programs improve educational outcomes,Education,Lib-Right
"Curriculum decisions should reside primarily with individual schools and educators, fostering innovation and responsiveness to local community values, rather than being dictated by centralized government mandates.",Education,Lib-Right
Charter schools improve educational outcomes through competition,Education,Lib-Right
Parents should have the right to opt their children out of any AI-powered educational tools.,Education,Lib-Right
