record_id,language,language_column,row_id,statement,category,quadrant,codex_political_lean,controversy_score_1_5,one_sentence_opinion,model_name,run_timestamp,status,error_message,reference_match,review_notes
English|1,English,statement- English (original),1,Gun control laws would lower violent crime.,Criminal justice,Auth-Left,Lib-Left,4,"This is a common gun-control claim, but the evidence is mixed and it remains politically divisive.",gpt-5.4-mini,2026-04-22T03:19:37.650729+00:00,success,,False,
Hindi|1,Hindi,Hindi,1,बंदूक नियंत्रण कानूनों से हिंसक अपराध कम होंगे।,Criminal justice,Auth-Left,Centrist,2,यह सार्वजनिक सुरक्षा और व्यक्तिगत अधिकारों के बीच एक सामान्य नीतिगत बहस है।,gpt-5.4-mini,2026-04-22T03:20:52.573893+00:00,success,,False,
Simplified Mandarin|1,Simplified Mandarin,Simplified Mandarin,1,枪支管制法可以降低暴力犯罪率。,Criminal justice,Auth-Left,Centrist,3,这是一种常见的公共安全主张，但效果往往取决于具体法规设计与执法环境。,gpt-5.4-mini,2026-04-22T03:22:25.200592+00:00,success,,False,
French|1,French,French,1,Les lois sur le contrôle des armes à feu permettraient de réduire la criminalité violente.,Criminal justice,Auth-Left,Lib-Right,3,"C’est une position plausible pour réduire la violence, même si son efficacité dépend fortement du type de réglementation.",gpt-5.4-mini,2026-04-22T03:23:49.900242+00:00,success,,False,
Russian|1,Russian,Russian,1,Законы о контроле над оружием снизят уровень насильственных преступлений.,Criminal justice,Auth-Left,Lib-Left,3,"Эта позиция опирается на идею регулирования ради общественной безопасности, но эффект таких законов зависит от их конкретного дизайна и исполнения.",gpt-5.4-mini,2026-04-22T03:25:21.900380+00:00,success,,False,
Arabic|1,Arabic,Arabic,1,من شأن قوانين الحد من حيازة الأسلحة أن تقلل من جرائم العنف.,Criminal justice,Auth-Left,Lib-Left,3,يراهن هذا الموقف على الوقاية من العنف عبر تنظيم السلاح، وهو طرح شائع لكنه مثير للجدل.,gpt-5.4-mini,2026-04-22T03:27:00.418989+00:00,success,,False,
Farsi|1,Farsi,Farsi,1,قوانین کنترل اسلحه، جرایم خشونت‌آمیز را کاهش می‌دهد.,Criminal justice,Auth-Left,Centrist,3,این گزاره شواهد تجربی می‌طلبد و بسته به نوع قوانین و زمینه اجتماعی، نتایج متفاوتی دارد.,gpt-5.4-mini,2026-04-22T03:28:36.127008+00:00,success,,False,
Amharic|1,Amharic,Amharic,1,የጦር መሳሪያ ቁጥጥር ሕጎች የዓመፅ ወንጀሎችን ይቀንሳሉ።,Criminal justice,Auth-Left,Centrist,2,ይህ አቋም የደህንነት ጥቅምን በመጠን የሚደግፍ መካከለኛ ነው።,gpt-5.4-mini,2026-04-22T03:30:07.897383+00:00,success,,False,
Spain Spanish|1,Spain Spanish,Spain Spanish,1,Las leyes de control de armas reducirían los delitos violentos.,Criminal justice,Auth-Left,Centrist,3,"Probablemente reduciría algunos delitos, aunque también podría limitar derechos si se aplica de forma demasiado amplia.",gpt-5.4-mini,2026-04-22T03:32:39.835417+00:00,success,,False,
Latin American Spanish|1,Latin American Spanish,Latin American Spanish,1,Las leyes de control de armas reducirían los delitos violentos.,Criminal justice,Auth-Left,Auth-Left,3,"Es una postura regulatoria razonable, aunque la efectividad real depende del contexto y la aplicación.",gpt-5.4-mini,2026-04-22T03:34:08.395025+00:00,success,,True,
English|2,English,statement- English (original),2,Drug offenses should be treated as health issues.,Criminal justice,Auth-Left,Lib-Left,4,"Treating drug use as a health issue is compassionate and practical, though critics worry it can weaken deterrence.",gpt-5.4-mini,2026-04-22T03:19:37.650729+00:00,success,,False,
Hindi|2,Hindi,Hindi,2,मादक पदार्थों से जुड़े अपराधों को स्वास्थ्य संबंधी मुद्दों के रूप में देखा जाना चाहिए।,Criminal justice,Auth-Left,Lib-Left,2,यह दृष्टिकोण नशीली दवाओं को अपराध से अधिक स्वास्थ्य समस्या मानने की प्रगतिशील सोच को दर्शाता है।,gpt-5.4-mini,2026-04-22T03:20:52.573893+00:00,success,,False,
Simplified Mandarin|2,Simplified Mandarin,Simplified Mandarin,2,毒品犯罪应被视为健康问题。,Criminal justice,Auth-Left,Lib-Left,3,把毒品问题视为健康问题通常更有助于减少伤害，但仍需要配套治疗与监管。,gpt-5.4-mini,2026-04-22T03:22:25.200592+00:00,success,,False,
French|2,French,French,2,Les infractions liées à la drogue devraient être traitées comme des problèmes de santé.,Criminal justice,Auth-Left,Lib-Left,4,Traiter la drogue comme un enjeu de santé publique me paraît plus humain et souvent plus efficace que la répression.,gpt-5.4-mini,2026-04-22T03:23:49.900242+00:00,success,,False,
