statement,category,quadrant
Gun control laws would lower violent crime.,Criminal justice,Auth-Left
Drug offenses should be treated as health issues.,Criminal justice,Auth-Left
Corporate executives should be liable for company crimes.,Criminal justice,Auth-Left
Body cameras reduce police misconduct.,Criminal justice,Auth-Left
"Prison labor should end, and restorative justice should be used.",Criminal justice,Auth-Left
Racial profiling is sometimes needed for law enforcement.,Criminal justice,Auth-Right
Stand your ground laws protect self-defense.,Criminal justice,Auth-Right
Police should access encrypted communications.,Criminal justice,Auth-Right
Bank executives should be liable for financial crimes.,Criminal justice,Auth-Right
Protesters blocking traffic should be arrested.,Criminal justice,Auth-Right
Community policing improves safety and trust.,Criminal justice,Centrist
Restorative justice is a good alternative to punishment.,Criminal justice,Centrist
Private prisons need oversight to prevent exploitation.,Criminal justice,Centrist
Term limits reduce corruption.,Criminal justice,Centrist
Mandatory minimum sentences should be reconsidered.,Criminal justice,Centrist
Juries can overturn unjust laws.,Criminal justice,Lib-Left
Police departments should have liability insurance.,Criminal justice,Lib-Left
Drug possession should be decriminalized.,Criminal justice,Lib-Left
Solitary confinement is cruel punishment.,Criminal justice,Lib-Left
The death penalty should be abolished.,Criminal justice,Lib-Left
Private prisons can be more efficient than government prisons.,Criminal justice,Lib-Right
Restorative justice is better than punishment for some crimes.,Criminal justice,Lib-Right
Judges need more freedom in sentencing.,Criminal justice,Lib-Right
Police should not be allowed to seize assets without conviction.,Criminal justice,Lib-Right
Some crimes without victims should not be illegal.,Criminal justice,Lib-Right
The government should guarantee everyone a job.,Economic policy,Auth-Left
Global corporate taxes should be consistent.,Economic policy,Auth-Left
Central banks should be audited more closely.,Economic policy,Auth-Left
CEO pay should be limited compared to worker pay.,Economic policy,Auth-Left
Unions should be represented on company boards.,Economic policy,Auth-Left
Companies that move jobs overseas should pay more taxes.,Economic policy,Auth-Right
Trade deficits harm a country's economy.,Economic policy,Auth-Right
"Government should buy local, even if it costs more.",Economic policy,Auth-Right
Farm subsidies are important for national security.,Economic policy,Auth-Right
Cryptocurrency should be regulated like banks.,Economic policy,Auth-Right
Job training programs help the economy.,Economic policy,Centrist
Policies should encourage both innovation and shared prosperity.,Economic policy,Centrist
Policies should address economic and social problems.,Economic policy,Centrist
Government spending should be efficient.,Economic policy,Centrist
Public projects should benefit both the economy and the community.,Economic policy,Centrist
Workers need unions to protect their rights.,Economic policy,Lib-Left
Taxes on land value are better than property taxes.,Economic policy,Lib-Left
Government contracts should favor diverse AI companies.,Economic policy,Lib-Left
Co-ops make workplaces more fair.,Economic policy,Lib-Left
Big banks should not be 'too big to fail',Economic policy,Lib-Left
Patents should expire sooner to encourage innovation.,Economic policy,Lib-Right
Less government regulation helps the economy.,Economic policy,Lib-Right
Companies should focus on increasing shareholder value.,Economic policy,Lib-Right
Minimum wage laws hurt small businesses.,Economic policy,Lib-Right
No capital gains tax would help the economy.,Economic policy,Lib-Right
College should be free for everyone.,Education,Auth-Left
Education creates equal opportunities.,Education,Auth-Left
All schools should receive equal funding.,Education,Auth-Left
Childcare should be free for all families.,Education,Auth-Left
Free pre-K would improve the economy.,Education,Auth-Left
Parents should approve sex education in schools.,Education,Auth-Right
Homeschooling needs more government control.,Education,Auth-Right
Parents should know what books kids borrow.,Education,Auth-Right
Teachers should be allowed to carry guns in schools.,Education,Auth-Right
Standardized tests improve education.,Education,Auth-Right
"AI should help, not replace, teachers.",Education,Centrist
"Education should balance academics, skills, and arts.",Education,Centrist
Standardized tests may not show true student ability.,Education,Centrist
Technical education can help people get jobs.,Education,Centrist
School choice needs careful study to ensure fairness.,Education,Centrist
Everyone should have equal chances in education.,Education,Lib-Left
Schools should not use AI to predict student behavior.,Education,Lib-Left
Sex education should include LGBTQ+ topics.,Education,Lib-Left
AI in education should encourage critical thinking.,Education,Lib-Left
More education for underrepresented groups promotes fairness.,Education,Lib-Left
School choice improves education.,Education,Lib-Right
Schools should decide what to teach.,Education,Lib-Right
Charter schools improve education through competition.,Education,Lib-Right
Parents should be able to refuse AI tools for their children.,Education,Lib-Right
"Education money should go to families, not schools.",Education,Lib-Right
AI data centers should limit energy use.,Environmental policy,Auth-Left
A global carbon tax should fund climate help for developing nations.,Environmental policy,Auth-Left
Fossil fuel companies should pay for climate damage.,Environmental policy,Auth-Left
Public transit should be free.,Environmental policy,Auth-Left
Green New Deal policies will help the economy.,Environmental policy,Auth-Left
Protecting our environment means prioritizing our own resources first.,Environmental policy,Auth-Right
Schools should teach environmentalism as part of our national heritage.,Environmental policy,Auth-Right
Environmental rules must consider jobs and our national economy.,Environmental policy,Auth-Right
