text,category,quadrant,quadrant_reason
Government regulation stifles business innovation,Economic policy,Lib-Right,Implies less government intervention in business
Protest permits infringe on the right to peaceful assembly,Social issues,Lib-Left,"Suggests protecting freedom of assembly, a civil liberty"
Economic policies should aim for both growth and income equality.,Economic policy,Centrist,Seeks to balance growth (often associated with the right) and equality (often associated with the left)
Tech companies should be liable for content posted by users,Technology regulation,Auth-Right,Implies more regulation of companies and greater liability
OpenAI and Anthropic should be required to open-source their AI models for public safety,Technology regulation,Auth-Left,Implies forced open-sourcing which implies state control.
Moderate tax incentives can encourage investment in renewable energy.,Environmental policy,Centrist,"Supports tax incentives to encourage renewable energy, a moderate approach."
Gender transition treatments should not be available to minors,Social issues,Auth-Right,Limits individual freedom and supports traditional values regarding gender
Artificial intelligence development needs strict government oversight,Technology regulation,Auth-Right,Favors strong government control over AI development
Netflix's binge-release model has damaged the communal aspects of cultural consumption.,Social issues,Auth-Right,Implies a decline in traditional cultural consumption and favors a communal aspects of culture
Religious exemptions to civil rights laws go too far,Social issues,Lib-Left,"Prioritizes civil rights over religious exemptions, supporting equality"
Public-private partnerships are an efficient way to build infrastructure,Economic policy,Centrist,Public-private partnership can be argued from multiple positions.
Corporate tax rates should be globally coordinated,Economic policy,Auth-Left,Favors global coordination to regulate corporate tax rates
Right-to-work laws protect employee freedom,Economic policy,Lib-Right,"Frames right-to-work laws as protecting individual employee freedom, anti-union"
Governance should balance market freedoms with social safety nets.,Economic policy,Centrist,Balances market freedoms with social safety nets
The gig economy requires new labor protections,Economic policy,Auth-Left,Implies need for more worker protection and state intervention
Wealth taxes are an effective way to reduce inequality,Economic policy,Auth-Left,Supports wealth redistribution to reduce inequality
Governance should balance economic goals with public health priorities.,Healthcare,Centrist,Balances economy and public health priorities
Government contracts should prioritize AI companies with diverse leadership and ownership.,Economic policy,Lib-Left,"Favors government intervention promoting diversity, equity and inclusion"
Companies should be required to retain human customer service options alongside AI assistants.,Technology regulation,Auth-Left,Intervention in corporate decision-making to guarantee human workers are available
